0.4123, 0.5344
0.4717, 0.4144
0.4507, 0.4978
0.6788, 0.8051
0.0495, 0.5622
0.4955, 0.6533
0.2795, 0.1541
0.9707, 0.1055
0.8910, 0.4095
0.5782, 0.9911
0.2022, 0.7610
0.5942, 0.0875
0.5224, 0.4301
0.4574, 0.0852
0.3716, 0.0154
0.1569, 0.9776
0.2412, 0.4160
0.6296, 0.2319
0.2755, 0.7874
0.7372, 0.6341
0.0519, 0.0935
0.6430, 0.1404
0.5832, 0.0874
0.3085, 0.4202
0.7755, 0.2298
0.3929, 0.0269
0.8358, 0.1388
0.0516, 0.2969
0.5436, 0.6526
0.0029, 0.1417
0.8743, 0.4820
0.7618, 0.8750
0.1966, 0.7329
0.1215, 0.0926
0.1500, 0.2854
0.8067, 0.4132
0.3559, 0.1313
0.7185, 0.5771
0.3133, 0.2908
0.3437, 0.0007
0.1891, 0.8598
0.7124, 0.3881
0.7227, 0.0661
0.7521, 0.4138
0.1372, 0.9585
0.0095, 0.8057
0.7707, 0.4936
0.4887, 0.3836
0.1256, 0.3389
0.7897, 0.7373
0.1709, 0.6688
0.8226, 0.2629
0.0252, 0.5942
0.1175, 0.2217
0.5995, 0.6353
0.1569, 0.3317
0.3857, 0.8277
0.2134, 0.1581
0.3373, 0.6310
0.8944, 0.2293
0.7101, 0.7997
0.9655, 0.3746
0.8055, 0.7736
0.0534, 0.2497
0.7882, 0.9435
0.5142, 0.3994
0.1411, 0.3583
0.0921, 0.4912
0.8615, 0.0526
0.9928, 0.5470
0.2048, 0.1956
0.6474, 0.0964
0.6365, 0.6876
0.7538, 0.1844
0.6678, 0.6641
0.1459, 0.0717
0.4175, 0.6063
0.6661, 0.2888
0.0701, 0.4040
0.4932, 0.4245
0.8777, 0.7650
0.3115, 0.6613
0.9968, 0.8278
0.3000, 0.6066
0.2382, 0.6942
0.1661, 0.4093
0.7650, 0.8729
0.3508, 0.5017
0.8747, 0.2979
0.0958, 0.5609
0.2676, 0.6729
0.2722, 0.4449
0.6214, 0.3779
0.7498, 0.9253
0.8669, 0.0730
0.6087, 0.0143
0.2914, 0.4340
0.6828, 0.5611
0.4842, 0.1645
0.7630, 0.5803
